COMP_GENE_A	COMP_GENE_B
AT1G76370	AT5G56580
AT1G76370	AT2G06210
AT1G76370	AT1G71070
AT1G76370	AT5G35370
AT1G76370	AT5G54810
AT1G76370	AT4G38070
AT1G76370	AT5G12190
AT1G76370	AT1G69390
AT1G76370	AT5G14950
AT1G76370	AT5G20650
AT1G76370	AT5G51610
AT1G76370	AT1G48860
AT1G76370	AT4G39820
AT1G76370	AT5G02140
AT1G76370	AT3G55330
AT1G76370	AT5G09460
AT1G76370	AT5G40400
AT1G76370	AT2G01755
AT1G76370	AT5G52810
AT5G13160	AT1G61660
AT5G13160	AT1G22880
AT5G13160	AT3G18380
AT5G13160	AT1G11790
AT5G13160	AT2G44970
AT5G13160	AT1G58120
AT5G13160	AT1G60490
AT5G13160	AT5G11900
AT5G13160	AT2G30710
AT5G13160	AT5G11550
AT5G13160	AT1G09157
AT5G13160	AT1G34160
AT3G26940	AT1G06150
AT3G26940	AT5G43940
AT3G26940	AT5G28960
AT4G35390	AT4G31820
AT4G35390	AT5G05570
AT2G42940	AT5G10510
AT2G42940	AT4G35860
AT2G42940	AT1G51450
AT2G42940	AT1G72560
AT3G55920	AT5G56660
AT3G55920	AT1G58180
AT3G55920	AT1G12480
AT3G55920	AT4G12420
AT3G55920	AT1G29890
AT3G55920	AT5G04740
AT3G55920	AT4G35970
AT3G55920	AT5G58310
AT3G55920	AT1G27700
AT3G55920	AT1G17030
AT3G55920	AT1G75230
AT3G55920	AT5G39220
AT3G55920	AT1G79470
AT3G55920	AT4G32530
AT3G55920	AT3G01210
AT3G55920	AT3G60500
AT3G55920	AT5G27920
AT3G55920	AT4G34090
AT3G55920	AT1G67930
AT3G55920	AT5G16260
AT3G55920	AT2G41620
AT3G55920	AT5G11900
AT3G55920	AT5G16420
AT3G55920	AT5G37510
AT3G55920	AT3G06040
AT3G55920	AT5G12290
AT3G55920	AT4G14310
AT3G55920	AT2G16880
AT3G55920	AT5G51660
AT3G55920	AT5G39960
AT3G55920	AT1G80190
AT3G55920	AT3G21580
AT3G55920	AT2G24090
AT3G55920	AT1G69070
AT3G55920	AT5G26749
AT3G55920	AT2G42820
AT3G55920	AT4G37170
AT2G38730	AT4G35785
AT2G38730	AT4G22220
AT2G38730	AT4G27030
AT2G38730	AT3G58730
AT2G38730	AT4G02770
AT1G11600	AT2G41540
AT1G11600	AT3G53440
AT1G11600	AT4G21330
AT1G11600	AT5G56450
AT1G11600	AT3G25210
AT4G10250	AT4G36470
AT4G10250	AT3G60330
AT4G10250	AT5G44030
AT4G10250	AT4G21585
AT4G10250	AT4G28700
AT4G10250	AT1G04430
